Project Name,Package Name,Type Name,Code Smell
88ybg,com.ybg.region.controller,RegionController,Unutilized Abstraction
88ybg,com.ybg.region.dao,RegionDaoImpl,Unutilized Abstraction
88ybg,com.ybg.region.domain,RegionDO,Unutilized Abstraction
88ybg,com.ybg.region.domain,RegionDO,Insufficient Modularization
88ybg,com.ybg.region.domain,RegionVO,Unutilized Abstraction
88ybg,com.ybg.region.service,RegionServiceImpl,Unutilized Abstraction
88ybg,com.ybg.clazz.controller,ClazzController,Unutilized Abstraction
88ybg,com.ybg.clazz.dao,ClazzDaoImpl,Unutilized Abstraction
88ybg,com.ybg.clazz.domain,ClazzDO,Unutilized Abstraction
88ybg,com.ybg.clazz.domain,ClazzVO,Unnecessary Abstraction
88ybg,com.ybg.clazz.domain,ClazzVO,Unutilized Abstraction
88ybg,com.ybg.clazz.mapper,ClazzMapper,Unutilized Abstraction
88ybg,com.ybg.clazz.service,ClazzServiceImpl,Unutilized Abstraction
88ybg,com.ybg.school.controller,SchoolController,Unutilized Abstraction
88ybg,com.ybg.school.dao,SchoolDaoImpl,Unutilized Abstraction
88ybg,com.ybg.school.domain,SchoolDO,Unutilized Abstraction
88ybg,com.ybg.school.domain,SchoolVO,Unnecessary Abstraction
88ybg,com.ybg.school.domain,SchoolVO,Unutilized Abstraction
88ybg,com.ybg.school.mapper,SchoolMapper,Unutilized Abstraction
88ybg,com.ybg.school.service,SchoolServiceImpl,Unutilized Abstraction
88ybg,com.ybg.student.controller,StudentController,Unutilized Abstraction
88ybg,com.ybg.student.dao,StudentDaoImpl,Unutilized Abstraction
88ybg,com.ybg.student.domain,StudentDO,Unutilized Abstraction
88ybg,com.ybg.student.domain,StudentDO,Insufficient Modularization
88ybg,com.ybg.student.domain,StudentVO,Unnecessary Abstraction
88ybg,com.ybg.student.domain,StudentVO,Unutilized Abstraction
88ybg,com.ybg.student.mapper,StudentMapper,Unutilized Abstraction
88ybg,com.ybg.student.service,StudentServiceImpl,Unutilized Abstraction
88ybg,(default package),Application,Unutilized Abstraction
88ybg,(default package),App,Unutilized Abstraction
88ybg,com.ybg.config,CacheConfiguration,Unutilized Abstraction
88ybg,com.ybg.config,DataBaseConfiguration,Unutilized Abstraction
88ybg,com.ybg.config,SessionConfiguration,Unutilized Abstraction
88ybg,com.ybg.config,SpringMvcConfiguration,Unutilized Abstraction
88ybg,com.ybg.config,Swagger2Configuration,Unutilized Abstraction
88ybg,com.ybg.config,ActivitiConfig,Unutilized Abstraction
88ybg,com.ybg.config,HttpsConfig,Unutilized Abstraction
88ybg,com.ybg.config,KaptchaConfig,Unutilized Abstraction
88ybg,com.ybg.config,ScheduleConfiguration,Unutilized Abstraction
88ybg,com.ybg.config,SecurityConfiguration,Unutilized Abstraction
88ybg,com.ybg.config.sission,AbstractSessionStrategy,Unutilized Abstraction
88ybg,com.ybg.config.sission,ImoocExpiredSessionStrategy,Unutilized Abstraction
88ybg,com.ybg.config.sission,ImoocExpiredSessionStrategy,Broken Hierarchy
88ybg,com.ybg.config.sission,ImoocInvalidSessionStrategy,Unutilized Abstraction
88ybg,com.ybg.config.sission,ImoocInvalidSessionStrategy,Broken Hierarchy
88ybg,org.main,AppTest,Unutilized Abstraction
88ybg,com.egzosn.pay.ali.api,AliPayConfigStorage,Unutilized Abstraction
88ybg,com.egzosn.pay.ali.api,AliPayService,Unutilized Abstraction
