Project Name,Package Name,Type Name,Method Name,Code Smell
mogu_blog_v2,com.moxi.mogublog.admin.annotion.AuthorityVerify,AuthorityVerifyAspect,doAround,Long Statement
mogu_blog_v2,com.moxi.mogublog.admin.annotion.OperationLogger,LoggerAspect,doAfterThrowing,Long Statement
mogu_blog_v2,com.moxi.mogublog.admin.annotion.OperationLogger,LoggerAspect,doAfterThrowing,Magic Number
mogu_blog_v2,com.moxi.mogublog.admin.annotion.OperationLogger,LoggerAspect,handle,Long Statement
mogu_blog_v2,com.moxi.mogublog.admin.annotion.OperationLogger,SysLogHandle,SysLogHandle,Long Parameter List
mogu_blog_v2,com.moxi.mogublog.admin.annotion.OperationLogger,SysLogHandle,onRun,Magic Number
mogu_blog_v2,com.moxi.mogublog.admin.config,DruidConfig,dataSource,Long Identifier
mogu_blog_v2,com.moxi.mogublog.admin.config,Swagger3Config,createRestApi,Long Statement
mogu_blog_v2,com.moxi.mogublog.admin.config,Swagger3Config,securityContexts,Long Statement
mogu_blog_v2,com.moxi.mogublog.admin.restapi,CreatCodeRestApi,validCode,Long Statement
mogu_blog_v2,com.moxi.mogublog.admin.restapi,CreatCodeRestApi,validCode,Magic Number
mogu_blog_v2,com.moxi.mogublog.admin.restapi,LoginRestApi,login,Complex Method
mogu_blog_v2,com.moxi.mogublog.admin.restapi,LoginRestApi,login,Long Statement
mogu_blog_v2,com.moxi.mogublog.admin.restapi,LoginRestApi,login,Magic Number
mogu_blog_v2,com.moxi.mogublog.admin.restapi,LoginRestApi,setLoginCommit,Magic Number
mogu_blog_v2,com.moxi.mogublog.admin.security,JwtAuthenticationTokenFilter,doFilterInternal,Long Statement
mogu_blog_v2,com.moxi.mogublog.admin.security,JwtAuthenticationTokenFilter,doFilterInternal,Magic Number
mogu_blog_v2,com.moxi.mogublog.admin.security,SecurityUserFactory,create,Long Statement
mogu_blog_v2,com.moxi.mogublog.admin.security,WebSecurityConfig,configure,Long Statement
mogu_blog_v2,com.moxi.mougblog.base.exception,ExceptionUtil,setResult,Long Statement
mogu_blog_v2,com.moxi.mougblog.base.handler,HandlerExceptionResolver,resolveException,Complex Method
mogu_blog_v2,com.moxi.mougblog.base.holder,RequestHolder,getRequest,Long Statement
mogu_blog_v2,com.moxi.mougblog.base.holder,RequestHolder,getResponse,Long Statement
mogu_blog_v2,com.moxi.mougblog.base.holder,RequestHolder,getSession,Long Statement
mogu_blog_v2,com.moxi.mougblog.base.holder,RequestHolder,setSession,Long Statement
mogu_blog_v2,com.moxi.mougblog.base.holder,RequestHolder,removeSession,Long Statement
mogu_blog_v2,com.moxi.mougblog.base.holder,RequestHolder,getSessionKeys,Long Statement
mogu_blog_v2,com.moxi.mougblog.base.validator.constraint,IdValidator,isValid,Complex Conditional
mogu_blog_v2,com.moxi.mougblog.base.validator.constraint,IdValidator,isValid,Long Statement
mogu_blog_v2,com.moxi.mougblog.base.validator.constraint,StringValidator,isValid,Complex Conditional
mogu_blog_v2,com.moxi.mogublog.commons.config.jwt,Audience,toString,Long Statement
mogu_blog_v2,com.moxi.mogublog.commons.config.jwt,JwtTokenUtil,parseJWT,Long Statement
mogu_blog_v2,com.moxi.mogublog.commons.config.jwt,JwtTokenUtil,createJWT,Long Parameter List
mogu_blog_v2,com.moxi.mogublog.commons.config.jwt,JwtTokenUtil,createJWT,Long Statement
mogu_blog_v2,com.moxi.mogublog.commons.config.jwt,JwtTokenUtil,refreshToken,Long Statement
mogu_blog_v2,com.moxi.mogublog.commons.config.security,SecurityUser,SecurityUser,Long Parameter List
mogu_blog_v2,com.moxi.mogublog.gateway.config,SwaggerResourceConfig,get,Long Statement
mogu_blog_v2,com.moxi.mogublog.monitor.config,WebSecurityConfig,configure,Long Statement
mogu_blog_v2,com.moxi.mogublog.picture.config,Swagger3Config,createRestApi,Long Statement
mogu_blog_v2,com.moxi.mogublog.picture.config,WebSecurityConfig,configure,Long Statement
mogu_blog_v2,com.moxi.mogublog.picture.restapi,NetworkDiskRestApi,unzipFile,Long Statement
mogu_blog_v2,com.moxi.mogublog.picture.restapi,NetworkDiskRestApi,selectFileByFileType,Long Statement
mogu_blog_v2,com.moxi.mogublog.picture.service.impl,FileServiceImpl,batchUploadFile,Complex Method
mogu_blog_v2,com.moxi.mogublog.picture.service.impl,FileServiceImpl,uploadPictureByUrl,Complex Method
mogu_blog_v2,com.moxi.mogublog.picture.service.impl,FileServiceImpl,ckeditorUploadFile,Complex Method
mogu_blog_v2,com.moxi.mogublog.picture.service.impl,FileServiceImpl,ckeditorUploadFile,Magic Number
mogu_blog_v2,com.moxi.mogublog.picture.service.impl,FileServiceImpl,ckeditorUploadCopyFile,Complex Conditional
mogu_blog_v2,com.moxi.mogublog.picture.service.impl,FileServiceImpl,ckeditorUploadCopyFile,Complex Method
mogu_blog_v2,com.moxi.mogublog.picture.service.impl,FileServiceImpl,ckeditorUploadCopyFile,Long Method
mogu_blog_v2,com.moxi.mogublog.picture.service.impl,FileServiceImpl,ckeditorUploadCopyFile,Long Statement
mogu_blog_v2,com.moxi.mogublog.picture.service.impl,FileServiceImpl,ckeditorUploadToolFile,Complex Method
mogu_blog_v2,com.moxi.mogublog.picture.service.impl,FileServiceImpl,ckeditorUploadToolFile,Magic Number
mogu_blog_v2,com.moxi.mogublog.picture.service.impl,LocalFileServiceImpl,uploadPictureByUrl,Long Statement
mogu_blog_v2,com.moxi.mogublog.picture.service.impl,LocalFileServiceImpl,uploadPictureByUrl,Magic Number
mogu_blog_v2,com.moxi.mogublog.picture.service.impl,LocalFileServiceImpl,uploadSingleFile,Long Statement
mogu_blog_v2,com.moxi.mogublog.picture.service.impl,MinioServiceImpl,uploadPictureByUrl,Long Statement
mogu_blog_v2,com.moxi.mogublog.picture.service.impl,MinioServiceImpl,uploadPictureByUrl,Magic Number
mogu_blog_v2,com.moxi.mogublog.picture.service.impl,NetworkDiskServiceImpl,deleteFile,Complex Method
mogu_blog_v2,com.moxi.mogublog.picture.service.impl,NetworkDiskServiceImpl,updateFilepathByFilepath,Complex Method
mogu_blog_v2,com.moxi.mogublog.picture.service.impl,QiniuServiceImpl,uploadPictureByUrl,Long Statement
mogu_blog_v2,com.moxi.mogublog.picture.service.impl,QiniuServiceImpl,uploadPictureByUrl,Magic Number
mogu_blog_v2,com.moxi.mogublog.picture.spider,PicturePieline,Download,Long Statement
mogu_blog_v2,com.moxi.mogublog.picture.spider,PicturePieline,Download,Magic Number
mogu_blog_v2,com.moxi.mogublog.picture.spider,PictureProcesser,Download,Long Statement
mogu_blog_v2,com.moxi.mogublog.picture.spider,PictureProcesser,Download,Magic Number
mogu_blog_v2,com.moxi.mogublog.picture.spider,PictureProcesser,process,Magic Number
mogu_blog_v2,com.moxi.mogublog.picture.spider,PictureProcesser,getSite,Magic Number
mogu_blog_v2,com.moxi.mogublog.picture.util,AboutFileUtil,uploadFile,Magic Number
mogu_blog_v2,com.moxi.mogublog.picture.util,FeignUtil,getSystemConfigMap,Long Statement
mogu_blog_v2,com.moxi.mogublog.picture.util,FeignUtil,getSystemConfigMap,Magic Number
mogu_blog_v2,com.moxi.mogublog.picture.util,FeignUtil,getSystemConfig,Complex Conditional
mogu_blog_v2,com.moxi.mogublog.picture.util,FeignUtil,getSystemConfig,Complex Method
mogu_blog_v2,com.moxi.mogublog.picture.util,FeignUtil,getSystemConfig,Long Statement
mogu_blog_v2,com.moxi.mogublog.picture.util,FeignUtil,getSystemConfigByMap,Complex Conditional
mogu_blog_v2,com.moxi.mogublog.picture.util,FeignUtil,getSystemConfigByMap,Long Statement
mogu_blog_v2,com.moxi.mogublog.picture.util,FeignUtil,getSystemConfigByWebToken,Magic Number
mogu_blog_v2,com.moxi.mogublog.picture.util,MinioUtil,deleteFile,Long Statement
mogu_blog_v2,com.moxi.mogublog.picture.util,MinioUtil,deleteBatchFile,Long Statement
mogu_blog_v2,com.moxi.mogublog.picture.util,MinioUtil,uploadSingleFile,Long Statement
mogu_blog_v2,com.moxi.mogublog.picture.util,MoGuFileUtil,deleteDirectory,Complex Method
mogu_blog_v2,com.moxi.mogublog.picture.util,QiniuUtil,setQiNiuArea,Missing default
mogu_blog_v2,com.moxi.mogublog.picture.util,QiniuUtil,getQiNiuConfig,Complex Conditional
mogu_blog_v2,com.moxi.mogublog.picture.util,QiniuUtil,getQiNiuConfig,Long Statement
mogu_blog_v2,com.moxi.mogublog.search.config,Swagger3Config,createRestApi,Long Statement
mogu_blog_v2,com.moxi.mogublog.search.config,WebSecurityConfig,configure,Long Statement
mogu_blog_v2,com.moxi.mogublog.search.mapper,HighlightResultHelper,mapResults,Long Statement
mogu_blog_v2,com.moxi.mogublog.search.restapi,ElasticSearchRestApi,initElasticSearchIndex,Magic Number
mogu_blog_v2,com.moxi.mogublog.search.service,ElasticSearchService,search,Long Statement
mogu_blog_v2,com.moxi.mogublog.search.service,ElasticSearchService,search,Magic Number
mogu_blog_v2,com.moxi.mogublog.sms.listener,BlogListener,updateRedis,Complex Method
mogu_blog_v2,com.moxi.mogublog.sms.listener,BlogListener,updateRedis,Missing default
mogu_blog_v2,com.moxi.mogublog.sms.util,SmsUtil,querySendDetails,Magic Number
mogu_blog_v2,com.moxi.mogublog.spider.config,GlobalExceptionHandler,handleBadRequest,Magic Number
mogu_blog_v2,com.moxi.mogublog.spider.config,Swagger3Config,createRestApi,Long Statement
mogu_blog_v2,com.moxi.mogublog.spider.config,WebSecurityConfig,configure,Long Statement
mogu_blog_v2,com.moxi.mogublog.spider.pipeline,PicturePieline,Download,Long Statement
mogu_blog_v2,com.moxi.mogublog.spider.pipeline,PicturePieline,Download,Magic Number
mogu_blog_v2,com.moxi.mogublog.spider.processer,BlogProcesser,getSite,Magic Number
mogu_blog_v2,com.moxi.mogublog.spider.processer,PictureProcesser,Download,Long Statement
mogu_blog_v2,com.moxi.mogublog.spider.processer,PictureProcesser,Download,Magic Number
mogu_blog_v2,com.moxi.mogublog.spider.processer,PictureProcesser,getImageSrc,Magic Number
mogu_blog_v2,com.moxi.mogublog.spider.processer,PictureProcesser,process,Magic Number
mogu_blog_v2,com.moxi.mogublog.spider.processer,PictureProcesser,getSite,Magic Number
mogu_blog_v2,com.moxi.mogublog.spider.restapi,BlogSpiderRestApi,startSpiderCsdn,Long Statement
mogu_blog_v2,com.moxi.mogublog.spider.restapi,BlogSpiderRestApi,startSpiderCsdn,Magic Number
mogu_blog_v2,com.moxi.mogublog.spider.task,BlogTask,webArticleTask,Long Statement
mogu_blog_v2,com.moxi.mogublog.spider.task,BlogTask,webArticleTask,Magic Number
mogu_blog_v2,com.moxi.mogublog.spider.task,PictureTask,webArticleTask,Long Statement
mogu_blog_v2,com.moxi.mogublog.spider.task,PictureTask,webArticleTask,Magic Number
mogu_blog_v2,com.moxi.mogublog.spider.util,DownloadUtil,download,Magic Number
mogu_blog_v2,com.moxi.mogublog.spider.util,IdWorker,IdWorker,Long Statement
mogu_blog_v2,com.moxi.mogublog.spider.util,IdWorker,getMaxWorkerId,Magic Number
mogu_blog_v2,com.moxi.mogublog.spider.util,IdWorker,getDatacenterId,Magic Number
mogu_blog_v2,com.moxi.mogublog.spider.util,IdWorker,main,Magic Number
mogu_blog_v2,com.moxi.mogublog.spider.util,IdWorker,nextId,Long Statement
mogu_blog_v2,com.moxi.mogublog.utils,AopUtils,getNameAndArgs,Complex Conditional
mogu_blog_v2,com.moxi.mogublog.utils,AopUtils,getNameAndArgs,Complex Method
mogu_blog_v2,com.moxi.mogublog.utils,CookieUtils,doSetCookie,Long Parameter List
mogu_blog_v2,com.moxi.mogublog.utils,CookieUtils,getDomainName,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils,DateUtils,getYestodayStartTime,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils,DateUtils,getYestodayEndTime,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils,DateUtils,getWeekEndTime,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils,DateUtils,getWeekEndTimeStr,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils,DateUtils,getLastWeekStartTimeStr,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils,DateUtils,getMonthEndTime,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils,DateUtils,getMonthEndTimeStr,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils,DateUtils,getDayByTwoDay,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils,DateUtils,getSecondByTwoDay,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils,DateUtils,getDaysByWeek,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils,DateUtils,getTime,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils,DateUtils,getDateStr,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils,DateUtils,getDatePoor,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils,FileUtils,markdownToHtml,Long Statement
mogu_blog_v2,com.moxi.mogublog.utils,IdWorkerUtils,IdWorkerUtils,Long Statement
mogu_blog_v2,com.moxi.mogublog.utils,IdWorkerUtils,getMaxWorkerId,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils,IdWorkerUtils,getDatacenterId,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils,IdWorkerUtils,nextId,Long Statement
mogu_blog_v2,com.moxi.mogublog.utils,ImageUtils,main,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils,ImageUtils,getWidthAndHeight,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils,ImageUtils,createImage,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils,IpUtils,getIpAddr,Complex Conditional
mogu_blog_v2,com.moxi.mogublog.utils,IpUtils,getIpAddr,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils,IpUtils,getRealIp,Long Statement
mogu_blog_v2,com.moxi.mogublog.utils,IpUtils,getOsAndBrowserInfo,Complex Conditional
mogu_blog_v2,com.moxi.mogublog.utils,IpUtils,getOsAndBrowserInfo,Complex Method
mogu_blog_v2,com.moxi.mogublog.utils,IpUtils,getOsAndBrowserInfo,Long Statement
mogu_blog_v2,com.moxi.mogublog.utils,IpUtils,getOsAndBrowserInfo,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils,IpUtils,isInner,Long Statement
mogu_blog_v2,com.moxi.mogublog.utils,IpUtils,getAddresses,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils,IpUtils,getResult,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils,IpUtils,decodeUnicode,Complex Method
mogu_blog_v2,com.moxi.mogublog.utils,IpUtils,decodeUnicode,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils,IpUtils,decodeUnicode,Missing default
mogu_blog_v2,com.moxi.mogublog.utils,IpUtils,getCityInfo,Complex Method
mogu_blog_v2,com.moxi.mogublog.utils,IpUtils,getCityInfo,Missing default
mogu_blog_v2,com.moxi.mogublog.utils,IpUtils,getHostIp,Empty catch clause
mogu_blog_v2,com.moxi.mogublog.utils,IpUtils,getHostName,Empty catch clause
mogu_blog_v2,com.moxi.mogublog.utils,JsonUtils,object2Map,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils,JsonUtils,jsonArrayToArrayList,Long Statement
mogu_blog_v2,com.moxi.mogublog.utils,JsonUtils,jsonToMap,Long Statement
mogu_blog_v2,com.moxi.mogublog.utils,JsonUtils,mapToPojo,Long Statement
mogu_blog_v2,com.moxi.mogublog.utils,JwtUtil,parseJWT,Long Statement
mogu_blog_v2,com.moxi.mogublog.utils,JwtUtil,createJWT,Long Statement
mogu_blog_v2,com.moxi.mogublog.utils,JwtUtil,createSysUserJWT,Long Parameter List
mogu_blog_v2,com.moxi.mogublog.utils,JwtUtil,createSysUserJWT,Long Statement
mogu_blog_v2,com.moxi.mogublog.utils,MD5Utils,string2MD5,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils,ProtoStuffSerializerUtil,serialize,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils,ProtoStuffSerializerUtil,serializeList,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils,RedisUtil,zRangeByScoreWithScores,Long Parameter List
mogu_blog_v2,com.moxi.mogublog.utils,RedisUtil,zReverseRangeByScore,Long Parameter List
mogu_blog_v2,com.moxi.mogublog.utils,SnowflakeIdWorker,SnowflakeIdWorker,Long Statement
mogu_blog_v2,com.moxi.mogublog.utils,SnowflakeIdWorker,nextId,Long Statement
mogu_blog_v2,com.moxi.mogublog.utils,SnowflakeIdWorker,main,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils,StringUtils,isCommentSpam,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils,UniappUtils,decryptData,Long Statement
mogu_blog_v2,com.moxi.mogublog.utils,UniappUtils,init,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils,WebUtils,getDomainName,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils,WebUtils,getDomainName,Missing default
mogu_blog_v2,com.moxi.mogublog.utils.ServerInfo,ServerInfo,setSysFiles,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils.ServerInfo,ServerInfo,setCpuInfo,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils.ServerInfo,ServerInfo,setMemInfo,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils.ServerInfo,ServerInfo,setJvmInfo,Long Statement
mogu_blog_v2,com.moxi.mogublog.utils.ServerInfo,ServerInfo,setJvmInfo,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils.ServerInfo,ServerInfo,convertFileSize,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils.upload,FileOperation,copyFile,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils.upload,FileOperation,unzip,Complex Method
mogu_blog_v2,com.moxi.mogublog.utils.upload,FileOperation,unzip,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils.upload,FileUtil,getFileExtendsByType,Missing default
mogu_blog_v2,com.moxi.mogublog.utils.upload,PathUtil,getFileName,Empty catch clause
mogu_blog_v2,com.moxi.mogublog.utils.upload,PathUtil,getFileName,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils.upload,Uploader,upload,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils.upload,Uploader,getTimeStampName,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils.wechat,SignUtil,checkSignature,Magic Number
mogu_blog_v2,com.moxi.mogublog.utils.wechat,SignUtil,getFormattedText,Magic Number
mogu_blog_v2,com.moxi.mogublog.web.annotion.log,LoggerAspect,handle,Long Statement
mogu_blog_v2,com.moxi.mogublog.web.annotion.log,SysLogHandle,SysLogHandle,Long Parameter List
mogu_blog_v2,com.moxi.mogublog.web.annotion.log,SysLogHandle,onRun,Magic Number
mogu_blog_v2,com.moxi.mogublog.web.config,Swagger3Config,createRestApi,Long Statement
mogu_blog_v2,com.moxi.mogublog.web.config,WebSecurityConfig,configure,Long Statement
mogu_blog_v2,com.moxi.mogublog.web.controller,FreemarkerController,setBlog,Complex Method
mogu_blog_v2,com.moxi.mogublog.web.restapi,AuthRestApi,login,Complex Method
mogu_blog_v2,com.moxi.mogublog.web.restapi,AuthRestApi,login,Long Statement
mogu_blog_v2,com.moxi.mogublog.web.restapi,AuthRestApi,updateUserPhoto,Complex Method
mogu_blog_v2,com.moxi.mogublog.web.restapi,AuthRestApi,decryptData,Complex Method
mogu_blog_v2,com.moxi.mogublog.web.restapi,AuthRestApi,decryptData,Long Method
mogu_blog_v2,com.moxi.mogublog.web.restapi,AuthRestApi,decryptData,Long Statement
mogu_blog_v2,com.moxi.mogublog.web.restapi,AuthRestApi,editUser,Long Statement
mogu_blog_v2,com.moxi.mogublog.web.restapi,AuthRestApi,replyBlogLink,Complex Method
mogu_blog_v2,com.moxi.mogublog.web.restapi,AuthRestApi,replyBlogLink,Long Statement
mogu_blog_v2,com.moxi.mogublog.web.restapi,AuthRestApi,replyBlogLink,Magic Number
mogu_blog_v2,com.moxi.mogublog.web.restapi,AuthRestApi,getFeedbackList,Magic Number
mogu_blog_v2,com.moxi.mogublog.web.restapi,AuthRestApi,edit,Long Statement
