Project Name,Package Name,Type Name,Code Smell
news,de.luhmer.owncloudnewsreader,CustomTestRunner,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader,TestApplication,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader,Constants,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader,LoginDialogActivity,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader,LoginDialogActivity,Insufficient Modularization
news,de.luhmer.owncloudnewsreader,NewFeedActivity,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader,ImportOpmlSubscriptionsTask,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader,NewsDetailActivity,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader,NewsDetailActivity,Broken Hierarchy
news,de.luhmer.owncloudnewsreader,NewsDetailActivity,Cyclic-Dependent Modularization
news,de.luhmer.owncloudnewsreader,NewsDetailActivity,Insufficient Modularization
news,de.luhmer.owncloudnewsreader,SectionsPagerAdapter,Cyclic-Dependent Modularization
news,de.luhmer.owncloudnewsreader,NewsDetailFragment,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader,NewsDetailFragment,Cyclic-Dependent Modularization
news,de.luhmer.owncloudnewsreader,NewsDetailImageDialogFragment,Insufficient Modularization
news,de.luhmer.owncloudnewsreader,NewsReaderApplication,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader,NewsReaderDetailFragment,Cyclic-Dependent Modularization
news,de.luhmer.owncloudnewsreader,NewsReaderDetailFragment,Insufficient Modularization
news,de.luhmer.owncloudnewsreader,UpdateCurrentRssViewTask,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader,RecyclerViewOnGestureListener,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader,NewsReaderItemTouchHelperCallback,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader,FastMarkReadMotionListener,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader,NewsReaderListActivity,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader,NewsReaderListActivity,Broken Hierarchy
news,de.luhmer.owncloudnewsreader,NewsReaderListActivity,Cyclic-Dependent Modularization
news,de.luhmer.owncloudnewsreader,NewsReaderListActivity,Insufficient Modularization
news,de.luhmer.owncloudnewsreader,NewsReaderListDialogFragment,Cyclic-Dependent Modularization
news,de.luhmer.owncloudnewsreader,MenuAction,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader,NewsReaderListFragment,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader,NewsReaderListFragment,Cyclic-Dependent Modularization
news,de.luhmer.owncloudnewsreader,PodcastFragment,Insufficient Modularization
news,de.luhmer.owncloudnewsreader,SettingsActivity,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader,SettingsActivity,Cyclic-Dependent Modularization
news,de.luhmer.owncloudnewsreader,ResetDatabaseAsyncTask,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader,SyncIntervalSelectorActivity,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.di,TestApiModule,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.di,TestApiModule,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.di,TestApiProvider,Multifaceted Abstraction
news,de.luhmer.owncloudnewsreader.di,TestApiProvider,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.di,TestApiProvider,Broken Hierarchy
news,de.luhmer.owncloudnewsreader.di,TestComponent,Cyclic-Dependent Modularization
news,de.luhmer.owncloudnewsreader.di,ApiModule,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.helper,AppCompatPreferenceActivity,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.helper,AutoResizeTextView,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.helper,AutoResizeTextView,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.helper,DatabaseUtils,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.helper,DatabaseUtils,Cyclic-Dependent Modularization
news,de.luhmer.owncloudnewsreader.helper,NewsFileUtils,Cyclic-Dependent Modularization
news,de.luhmer.owncloudnewsreader.helper,NotificationActionReceiver,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.helper,NotificationActionReceiverDownloadWebPage,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.helper,OpmlXmlParser,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.helper,Entry,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.helper,SizeAnimator,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.helper,SizeAnimator,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.helper,SquareRoundedBitmapDisplayer,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.helper,ThemeChooser,Cyclic-Dependent Modularization
news,de.luhmer.owncloudnewsreader.tests,DownloadWebPageServiceTest,Unnecessary Abstraction
news,de.luhmer.owncloudnewsreader.tests,DownloadWebPageServiceTest,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.tests,DownloadWebPageServiceTest,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.tests,NewFeedTests,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.tests,NewFeedTests,Cyclic-Dependent Modularization
news,de.luhmer.owncloudnewsreader.tests,NewsReaderListActivityUiTests,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.tests,NewsReaderListActivityUiTests,Cyclic-Dependent Modularization
news,de.luhmer.owncloudnewsreader.tests,NightModeTest,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.tests,NightModeTest,Cyclic-Dependent Modularization
news,helper,RecyclerViewAssertions,Unutilized Abstraction
news,screengrab,ScreenshotTest,Unutilized Abstraction
news,screengrab,ScreenshotTest,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.adapter,DividerItemDecoration,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.adapter,HasId,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.adapter,NewsListRecyclerAdapter,Cyclic-Dependent Modularization
news,de.luhmer.owncloudnewsreader.adapter,NewsListRecyclerAdapter,Insufficient Modularization
news,de.luhmer.owncloudnewsreader.adapter,RefreshDataAsyncTask,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.adapter,LoadMoreItemsAsyncTask,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.adapter,ReloadAdapterAsyncTask,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.adapter,ProgressBarWebChromeClient,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.adapter,ProgressBarWebChromeClient,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.adapter,ProgressViewHolder,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.adapter,ProgressViewHolder,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.adapter,RecyclerItemClickListener,Cyclic-Dependent Modularization
news,de.luhmer.owncloudnewsreader.adapter,RssItemCardViewHolder,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.adapter,RssItemFullTextViewHolder,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.adapter,RssItemHeadlineThumbnailViewHolder,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.adapter,RssItemHeadlineViewHolder,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.adapter,RssItemTextViewHolder,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.adapter,RssItemThumbnailViewHolder,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.adapter,RssItemViewHolder,Unexploited Encapsulation
news,de.luhmer.owncloudnewsreader.adapter,RssItemViewHolder,Missing Hierarchy
news,de.luhmer.owncloudnewsreader.adapter,RssItemViewHolder,Cyclic-Dependent Modularization
news,de.luhmer.owncloudnewsreader.adapter,RssItemWebViewHolder,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.async_tasks,DownloadChangelogTask,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.async_tasks,DownloadImageHandler,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.async_tasks,Listener,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.authentication,AccountGeneral,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.authentication,OwnCloudSyncAdapter,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.chrometabs,KeepAliveService,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.database,DatabaseConnectionOrm,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.database,DatabaseConnectionOrm,Cyclic-Dependent Modularization
news,de.luhmer.owncloudnewsreader.database,DatabaseConnectionOrm,Insufficient Modularization
news,de.luhmer.owncloudnewsreader.database,UpdateRssItemAsyncTask,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.database.generator,SchemaVersion,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.database.generator,SchemaVersion,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.database.generator,Version7,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.database.model,CurrentRssItemViewDao,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.database.model,CurrentRssItemViewDao,Cyclic-Dependent Modularization
news,de.luhmer.owncloudnewsreader.database.model,Properties,Unnecessary Abstraction
news,de.luhmer.owncloudnewsreader.database.model,Properties,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.database.model,DaoMaster,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.database.model,OpenHelper,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.database.model,DevOpenHelper,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.database.model,DevOpenHelper,Broken Hierarchy
news,de.luhmer.owncloudnewsreader.database.model,DaoSession,Cyclic-Dependent Modularization
news,de.luhmer.owncloudnewsreader.database.model,Feed,Cyclic-Dependent Modularization
news,de.luhmer.owncloudnewsreader.database.model,Feed,Insufficient Modularization
news,de.luhmer.owncloudnewsreader.database.model,FeedDao,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.database.model,FeedDao,Cyclic-Dependent Modularization
news,de.luhmer.owncloudnewsreader.database.model,Properties,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.database.model,Properties,Broken Modularization
news,de.luhmer.owncloudnewsreader.database.model,Folder,Cyclic-Dependent Modularization
news,de.luhmer.owncloudnewsreader.database.model,FolderDao,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.database.model,FolderDao,Cyclic-Dependent Modularization
news,de.luhmer.owncloudnewsreader.database.model,RssItem,Cyclic-Dependent Modularization
news,de.luhmer.owncloudnewsreader.database.model,RssItem,Insufficient Modularization
news,de.luhmer.owncloudnewsreader.database.model,RssItemDao,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.database.model,RssItemDao,Cyclic-Dependent Modularization
news,de.luhmer.owncloudnewsreader.events.podcast,AudioPodcastClicked,Unnecessary Abstraction
news,de.luhmer.owncloudnewsreader.events.podcast,AudioPodcastClicked,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.events.podcast,CollapsePodcastView,Unnecessary Abstraction
news,de.luhmer.owncloudnewsreader.events.podcast,ExpandPodcastView,Unnecessary Abstraction
news,de.luhmer.owncloudnewsreader.events.podcast,FeedPanelSlideEvent,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.events.podcast,NewPodcastPlaybackListener,Unnecessary Abstraction
news,de.luhmer.owncloudnewsreader.events.podcast,PodcastCompletedEvent,Unnecessary Abstraction
news,de.luhmer.owncloudnewsreader.events.podcast,PodcastFeedClicked,Unnecessary Abstraction
news,de.luhmer.owncloudnewsreader.events.podcast,PodcastFeedClicked,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.events.podcast,RegisterVideoOutput,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.events.podcast,SpeedPodcast,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.events.podcast,StartDownloadPodcast,Unnecessary Abstraction
news,de.luhmer.owncloudnewsreader.events.podcast,StartDownloadPodcast,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.events.podcast,UpdatePodcastStatusEvent,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.events.podcast,VideoDoubleClicked,Unnecessary Abstraction
news,de.luhmer.owncloudnewsreader.events.podcast,VideoDoubleClicked,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.events.podcast,WindPodcast,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.ListView,ViewHolder,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.ListView,SubscriptionExpandableListAdapter,Insufficient Modularization
news,de.luhmer.owncloudnewsreader.ListView,NotifyDataSetChangedAsyncTask,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.ListView,ReloadAdapterAsyncTask,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.model,AbstractItem,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.model,ConcreteFeedItem,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.model,ConcreteFeedItem,Broken Hierarchy
news,de.luhmer.owncloudnewsreader.model,CurrentRssViewDataHolder,Unnecessary Abstraction
news,de.luhmer.owncloudnewsreader.model,CurrentRssViewDataHolder,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.model,FolderSubscribtionItem,Unutilized Abstraction
news,de.luhmer.owncloudnewsreader.model,FolderSubscribtionItem,Broken Hierarchy
news,de.luhmer.owncloudnewsreader.model,MediaItem,Unnecessary Abstraction
news,de.luhmer.owncloudnewsreader.model,MediaItem,Deficient Encapsulation
news,de.luhmer.owncloudnewsreader.model,MediaItem,Broken Modularization
