Project Name,Package Name,Type Name,Method Name,Code Smell
NextcloudNotes,it.niedermann.owncloud.notes.about,AboutActivity,onCreate,Missing default
NextcloudNotes,it.niedermann.owncloud.notes.about,AboutActivity,createFragment,Missing default
NextcloudNotes,it.niedermann.owncloud.notes.about,TabsStateAdapter,createFragment,Missing default
NextcloudNotes,it.niedermann.owncloud.notes.about,AboutFragmentContributingTab,onCreateView,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.about,AboutFragmentCreditsTab,onCreateView,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.about,AboutFragmentLicenseTab,onCreateView,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.accountpicker,AccountPickerDialogFragment,onAttach,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.accountpicker,AccountPickerDialogFragment,onCreateDialog,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.accountpicker,AccountPickerDialogFragment,onCreateView,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.accountswitcher,AccountSwitcherAdapter,onCreateViewHolder,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.accountswitcher,AccountSwitcherDialog,onCreateDialog,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.accountswitcher,AccountSwitcherViewHolder,bind,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes,FormattingHelpActivity,buildContextBasedFormattingHelp,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes,FormattingHelpActivity,buildFormattingHelp,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes,FormattingHelpActivity,buildFormattingHelp,Magic Number
NextcloudNotes,it.niedermann.owncloud.notes,LockedActivity,onCreate,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.branding,BrandedPreferenceCategory,onBindViewHolder,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.branding,BrandedSwitchPreference,applyBrand,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.branding,BrandingUtil,readBrandMainColorLiveData,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.branding,BrandingUtil,readBrandMainColor,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.branding,BrandingUtil,getSecondaryForegroundColorDependingOnTheme,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.branding,BrandingUtil,getSecondaryForegroundColorDependingOnTheme,Magic Number
NextcloudNotes,it.niedermann.owncloud.notes.branding,BrandingUtil,applyBrandToEditText,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.branding,BrandingUtil,getTextHighlightBackgroundColor,Complex Method
NextcloudNotes,it.niedermann.owncloud.notes.branding,BrandingUtil,getTextHighlightBackgroundColor,Magic Number
NextcloudNotes,it.niedermann.owncloud.notes.edit,BaseNoteFragment,onViewCreated,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.edit,BaseNoteFragment,onCreateOptionsMenu,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.edit,BaseNoteFragment,onCreateOptionsMenu,Magic Number
NextcloudNotes,it.niedermann.owncloud.notes.edit,BaseNoteFragment,onPrepareOptionsMenu,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.edit,BaseNoteFragment,onOptionsItemSelected,Complex Method
NextcloudNotes,it.niedermann.owncloud.notes.edit,BaseNoteFragment,onOptionsItemSelected,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.edit,BaseNoteFragment,onCloseNote,Complex Conditional
NextcloudNotes,it.niedermann.owncloud.notes.edit,EditNoteActivity,onCreate,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.edit,EditNoteActivity,launchExistingNote,Complex Conditional
NextcloudNotes,it.niedermann.owncloud.notes.edit,EditNoteActivity,launchNewNote,Complex Conditional
NextcloudNotes,it.niedermann.owncloud.notes.edit,EditNoteActivity,launchNewNote,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.edit,NoteEditFragment,openSoftKeyboard,Magic Number
NextcloudNotes,it.niedermann.owncloud.notes.edit,NoteEditFragment,applyBrand,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.edit,NotePreviewFragment,registerInternalNoteLinkHandler,Empty catch clause
NextcloudNotes,it.niedermann.owncloud.notes.edit,NotePreviewFragment,registerInternalNoteLinkHandler,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.edit,NotePreviewFragment,onRefresh,Complex Conditional
NextcloudNotes,it.niedermann.owncloud.notes.edit,NotePreviewFragment,onRefresh,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.edit,NotePreviewFragment,applyBrand,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.edit,SearchableBaseNoteFragment,onActivityCreated,Long Identifier
NextcloudNotes,it.niedermann.owncloud.notes.edit,SearchableBaseNoteFragment,onPrepareOptionsMenu,Complex Method
NextcloudNotes,it.niedermann.owncloud.notes.edit,SearchableBaseNoteFragment,onPrepareOptionsMenu,Long Method
NextcloudNotes,it.niedermann.owncloud.notes.edit,SearchableBaseNoteFragment,onSaveInstanceState,Long Identifier
NextcloudNotes,it.niedermann.owncloud.notes.edit,SearchableBaseNoteFragment,jumpToOccurrence,Complex Method
NextcloudNotes,it.niedermann.owncloud.notes.edit,SearchableBaseNoteFragment,countOccurrences,Complex Conditional
NextcloudNotes,it.niedermann.owncloud.notes.edit,SearchableBaseNoteFragmentTest,testCountOccurrencesFixed,Magic Number
NextcloudNotes,it.niedermann.owncloud.notes.edit.category,CategoryAdapter,onBindViewHolder,Missing default
NextcloudNotes,it.niedermann.owncloud.notes.edit.category,CategoryAdapter,setCategoryList,Long Identifier
NextcloudNotes,it.niedermann.owncloud.notes.edit.category,CategoryAdapter,setCategoryList,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.edit.category,CategoryDialogFragment,onAttach,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.edit.category,CategoryDialogFragment,onCreateDialog,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.edit.category,CategoryViewModel,getCategories,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.edit.title,EditTitleDialogFragment,onAttach,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.edit.title,EditTitleDialogFragment,onCreateDialog,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.exception,ExceptionActivity,onCreate,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.exception,ExceptionActivity,createIntent,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.exception,ExceptionDialogFragment,onAttach,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.exception,ExceptionDialogFragment,onCreateDialog,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.exception.tips,TipsAdapter,setThrowables,Complex Method
NextcloudNotes,it.niedermann.owncloud.notes.exception.tips,TipsAdapter,setThrowables,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.exception.tips,TipsAdapter,setThrowables,Magic Number
NextcloudNotes,it.niedermann.owncloud.notes.importaccount,ImportAccountActivity,onActivityResult,Complex Conditional
NextcloudNotes,it.niedermann.owncloud.notes.importaccount,ImportAccountActivity,onActivityResult,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.importaccount,ImportAccountActivity,onSuccess,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.importaccount,ImportAccountViewModel,addAccount,Long Parameter List
NextcloudNotes,it.niedermann.owncloud.notes.main.items.grid,GridItemDecoration,GridItemDecoration,Long Parameter List
NextcloudNotes,it.niedermann.owncloud.notes.main.items.grid,GridItemDecoration,getItemOffsets,Complex Conditional
NextcloudNotes,it.niedermann.owncloud.notes.main.items.grid,NoteViewGridHolder,NoteViewGridHolder,Magic Number
NextcloudNotes,it.niedermann.owncloud.notes.main.items.grid,NoteViewGridHolder,bind,Long Parameter List
NextcloudNotes,it.niedermann.owncloud.notes.main.items.grid,NoteViewGridHolder,bind,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.main.items.grid,NoteViewGridHolderOnlyTitle,NoteViewGridHolderOnlyTitle,Magic Number
NextcloudNotes,it.niedermann.owncloud.notes.main.items.grid,NoteViewGridHolderOnlyTitle,showSwipe,Long Statement
NextcloudNotes,it.niedermann.owncloud.notes.main.items.grid,NoteViewGridHolderOnlyTitle,bind,Long Parameter List
NextcloudNotes,it.niedermann.owncloud.notes.main.items.grid,GridItemDecorationTest,getItemOffsets,Long Statement
